cubeJuliaTimeStep, cubeRomeo.position.x, cubeRomeo.velocity.x,cubeRomeo.mass, cubeRomeoImpulse, cubeRomeoKinetic, cubeJulia.position.x, cubeJulia.velocity.x,cubeJulia.mass, cubeJuliaImpulse, velocityEnd, cubeKineticEnd, forceOnJulia, GesamtImpluls, ImpulsCheck }
0.02,-4.13,0,2,0,0,-10.66,0,2,0,0,0,0,0,0
0.04,-4.1292,0.04,2,0.08,0.0016,-10.66,0,2,0,0.02,0.0008,0.04,0.08,0.08
0.06,-4.1276,0.08,2,0.16,0.0064,-10.66,0,2,0,0.04,0.0032,0.08,0.16,0.16
0.08,-4.1252,0.12,2,0.24,0.0144,-10.66,0,2,0,0.06,0.0072,0.12,0.24,0.24
0.09999999,-4.122,0.16,2,0.32,0.0256,-10.66,0,2,0,0.08,0.0128,0.16,0.32,0.32
0.12,-4.118,0.2,2,0.4,0.04,-10.66,0,2,0,0.09999999,0.02,0.2,0.4,0.4
0.14,-4.1132,0.24,2,0.48,0.05759999,-10.66,0,2,0,0.12,0.0288,0.24,0.48,0.48
0.16,-4.1076,0.28,2,0.5599999,0.07839999,-10.66,0,2,0,0.14,0.03919999,0.28,0.5599999,0.5599999
0.18,-4.1012,0.32,2,0.6399999,0.1024,-10.66,0,2,0,0.16,0.05119999,0.32,0.6399999,0.6399999
0.2,-4.094,0.36,2,0.7199999,0.1296,-10.66,0,2,0,0.18,0.06479999,0.36,0.7199999,0.7199999
0.22,-4.086,0.3999999,2,0.7999999,0.16,-10.66,0,2,0,0.2,0.07999998,0.3999999,0.7999999,0.7999999
0.24,-4.0772,0.4399999,2,0.8799999,0.1935999,-10.66,0,2,0,0.22,0.09679997,0.4399999,0.8799999,0.8799999
0.26,-4.0676,0.4799999,2,0.9599999,0.2303999,-10.66,0,2,0,0.24,0.1152,0.4799999,0.9599999,0.9599999
0.28,-4.0572,0.5199999,2,1.04,0.2703999,-10.66,0,2,0,0.26,0.1352,0.5199999,1.04,1.04
0.3,-4.046,0.5599999,2,1.12,0.3135999,-10.66,0,2,0,0.28,0.1568,0.5599999,1.12,1.12
0.32,-4.034,0.6,2,1.2,0.36,-10.66,0,2,0,0.3,0.18,0.6,1.2,1.2
0.34,-4.0212,0.64,2,1.28,0.4096,-10.66,0,2,0,0.32,0.2048,0.64,1.28,1.28
0.36,-4.0076,0.68,2,1.36,0.4624,-10.66,0,2,0,0.34,0.2312,0.68,1.36,1.36
0.38,-3.9932,0.72,2,1.44,0.5184,-10.66,0,2,0,0.36,0.2592,0.72,1.44,1.44
